Codice ,Titolo ,Descrizione ,Genere,Taglia Descrizione ,Taglia Variante,Colore ,Composizione ,Condizioni ,Misure ,Prezzo ,Tipo Di Prodotto ,Fornitore ,Collezione ,Tag. ,Posizione
A9654,Spalding Pantalone Nero,"Spalding pantalone nero tinta unita con logo ricamato frontale , tessuto tecnico adatto alle mezze stagioni ,modello gamba larga",M,S - 42,42,Nero,100% Poliestere,Buone,31-31-103,€ 13.00,Pantaloni Sport Uomo,SecondChancy,Nuovi Arrivi/Uomo,Pantaloni Sport Uomo/Abbigliamento Uomo/Inventario/Sport Uomo,C15
A9655,Desigual Camicia Multicolore,"Desigual camicia fantasia multicolore con taschino frontale , chiusura bottoni ,modello regular",M,XL,XL,Multicolore,Cotone,Buone,47-65-58-68,€ 12.00,Camicia Uomo,Desigual,Nuovi Arrivi/Uomo,Camicie Uomo/Abbigliamento Uomo/Inventario,C15
A9656,Nike Leggins Nero,"Nike pantalone sportivo grigio con logo stampato frontale , tasche e molla inferiore",F,S - 42,42,Nero,61% cotone 33% poliestere 6% elastan,Buone,30-24-87,€ 12.00,Pantaloni Sport Donna,Nike,Nuovi Arrivi/Donna,Pantaloni Sport Donna/Sport Donna/Abbigliamento Donna/Inventario,C15
A9657,Adidas Leggins Blu,"Adidas leggins blu vita alta con logo stampato frontale , bande laterali e molla in vita",F,40/42,40,Blu,92% Cotone 8% Elastan,Buone,30-25-87,€ 12.00,Pantaloni Sport Donna,Adidas,Nuovi Arrivi/Donna,Pantaloni Sport Donna/Sport Donna/Abbigliamento Donna/Inventario,C15
A9658,Kappa Polo Verde,"Kappa polo verde con logo ricamato frontale , bottoni al colletto",M,XL,XL,Verde,95% Cotone 5% Elastan,Buone,42-20-50-62,€ 8.00,Polo Uomo,Kappa,Nuovi Arrivi/Uomo,Polo Uomo/Abbigliamento Uomo/Inventario,C15
A9659,Levi's Jeans Blu,"Levi's jeans blu lavaggio scuro , modello slim classic rise ,etichetta brand pelle posteriore",F,28X34 - 42,42,Blu,98% Cotone 2% Elastan,Buone,38-24-100,€ 16.00,Jeans Donna,Levi's,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Jeans Donna,C15
A9660,Pierre Cardin Bermuda Jeans,"Pierre Cardin jeans bermuda lavaggio scuro ,etichetta brand posteriore ,modello regular fit",M,38R - 48,48,Blu,100% Cotone,Buone,45-30-60,€ 13.00,Pantaloncini Uomo,Pierre Cardin,Nuovi Arrivi/Uomo,Pantaloncini Uomo/Abbigliamento Uomo/Inventario,C15
A9661,Adidas Pantalone Blu,"Adidas pantalone sportivo blu,tessuto tecnico, logo ricamato frontale",M,50,50,Blu,100% Poliestere,Buone,39-35-96,€ 12.00,Pantalone Sport Uomo,Adidas,Nuovi Arrivi/Uomo,Sport Uomo/ Pantaloni Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9662,G-Star Vestito Blu,"G-Star Raw vestito blu tinta unita con bottoni frontali , logo ricamato piccolo frontale",F,S,S,Blu,97% Cotone 3% Elastan,Buone,38-27-39-90,€ 15.00,Vestito Donna,G-Star Raw,Nuovi Arrivi/Donna,Vestiti Donna/Abbigliamento Donna/Inventario,C15
A9663,Gonna Blu Tubino,"Gonna tubino blu parzialmente in lino , modello foderato adatto per le mezze stagioni , dettaglio piccolo spacco posteriore centrale",F,40,40,Blu,55% Lino 45% Poliestere,Buone,37-66,€ 8.00,Gonna,Vintage,Nuovi Arrivi/Donna,Gonne Donna/Abbigliamento Donna/Inventario,C15
A9664,Maglione Ricamato Grigio,"Maglione vintage grigio con dettaglio ricamo intrecciato superiore , girocollo",M,S,S,Grigio,Lana,"Buone,etichetta interna assente.Necessita lavaggio",46-51-57-57,€ 14.00,Maglioni Uomo,Vintage,Nuovi Arrivi/Uomo,Inventario/Abbigliamento Uomo/Maglioni Uomo,C15
A9665,Vestito Jeans Blu,"Vestito jeans blu lavaggio chiaro , scollo a barca, modello morbido",F,S,S,Blu,100% Tencell,Buone,43-21-40-90,€ 13.00,Vestito Donna,Vintage,Nuovi Arrivi/Donna,Inventario/Abbigliamento Donna/Vestiti Donna,C15
A9666,Fiorucci Camicia Maculata,Fiorucci fantasia maculata con taschini frontale e chiusura bottoni frontale,F,M,M,Nero,49% Poliestere 51% Cotone,Buone,39-59-49-55,€ 12.00,Camicie e Blouse,Vintage,Nuovi Arrivi/Donna,Inventario/Abbigliamento Donna/Camicie e Blouse Donna,C15
A9667,Klimangiaro Felpa Nera,"Klimangiaro felpa nera tinta unita con chiusura zip frontale e tasche ,modello felpato",F,38 - XS,XS,Nero,92% Poliestee 8% Elastan,Buone,39-62-44-55,€ 14.00,Felpa Donna,SecondChancy,Nuovi Arrivi/Donna,Inventario/Abbigliamento Donna/Felpe Donna/Sport Donna,C15
A9668,Cardigan Lana Multicolore,"Cardigan in lana multicolore , modello crop con chiusura frontale bottoni",F,M,M,Multicolore,Lana,"Buone,etichetta interna assente",48-60-58-47,€ 15.00,Maglioni Donna,Vintage,Nuovi Arrivi/Donna,Inventario/Abbigliamento Donna/Maglioni Donna,C15
A9669,ELIMINATO,,,,,,,,,,,,,,C15
A9670,Champion T-Shirt Grigia,"Champion t-shirt grigia tinta unita con logo stampato frontale e banda logata lato sinistro , mezza manica e girocollo",F,S,S,Grigio,Cotone,"Buone,etichetta materiale assente",49-16-48-57,€ 8.00,T-Shirt Donna,Champion,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9671,Adidas T-shirt Nera,"Adidas t-shirt nera tinta unita con stampa frontale , mezza manica e girocollo",M,M,M,Nero,Cotone,"Buone,etichetta materiale tagliata",42-18-48-66,€ 8.00,T-Shirt Uomo,Adidas,Nuovi Arrivi/Uomo,T-Shirt Uomo/Abbigliamento Uomo/Inventario,C15
A9672,Adidas Bermuda Blu,Adidas bermuda sportivo blu con logo ricamato frontale e bande bianche laterali,M,M- 46,46,Blu,100% poliestere,Buone,32-34-47,€ 13.00,Pantaloncini Sport Uomo,Adidas,Nuovi Arrivi/Uomo,Sport Uomo/Pantaloncini Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9673,Guess T-Shirt Rossa,"Guess t-shirt rossa tinta unita con logo stampato frontale , modello slim fit",M,M,M,Rosso,100% Cotone,Buone,40-19-46-64,€ 8.00,T-Shirt Uomo,Guess,Nuovi Arrivi/Uomo,T-Shirt Uomo/Abbigliamento Uomo/Inventario,C15
A9674,Champion T-Shirt Rosa,"Champion t-shirt rosa tinta unita con logo stampato frontale ,modello crop , mezza manica e girocollo",F,XL,XL,Rosa,100% Cotone,Buone,49-18-50-50,€ 8.00,T-Shirt Donna,Champion,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9675,Camicia Vintage Gialla,"Camicia vintage gialla tinta unita parzialmente in seta ,chiusura bottoni lavorati frontali",F,S,S,Giallo,35% Seta 65% Viscosa,Buone,46-58-54-73,€ 10.00,Camicie e Blouse,Vintage,Nuovi Arrivi/Donna,Inventario/Abbigliamento Donna/Camicie e Blouse Donna,C15
A9676,Pepe Jeans Felpa Blu,"Pepe Jeans felpa blu con maniche in maglia grigia , logo ricamato frontale e manica sinistra , cappuccio e bottoni al colletto ,modello regular fit",M,M,M,Blu,100% Cotone,Buone,45-68-48-69,€ 13.00,Felpa Uomo,SecondChancy,Nuovi Arrivi/Uomo,Felpe Uomo/Abbigliamento Uomo/Inventario/Sport Uomo,C15
A9677,Sorbino Maglioncino Grigio,"Sorbino Maglione grigio tinta unita , scollo a V .",M,XL,XL,Grigio,100% Cotone,Buone,48-63-52-65,€ 14.00,Maglioni Uomo,SecondChancy,Nuovi Arrivi/Uomo,Maglioni Uomo/Abbigliamento Uomo/Inventario,C15
A9678,Calvin Klein Camicia Nera,"Calvin Klein camicia nera con righe in tinta ,chiusura frontale bottoni",M,XXL,XXL,Nero,97% Cotone 3% Elastan,Buone,53-71-62-78,€ 14.00,Camicia Uomo,Calvin Klein,Nuovi Arrivi/Uomo,Camicie Uomo/Abbigliamento Uomo/Inventario,C15
A9679,Replay Vestito Fantasia,Vestito fantasia stelle nero con gonna morbida e bottoni al colletto,Bimba,8 Anni,8 Anni,Nero,100% Viscosa,Buone,35-45-39-74,€ 12.00,,SecondChancy,Bambini,Inventario/Bimba,C15
A9680,Converse T-Shirt Rosa,"Converse t-shirt rosa tinta unita con stampa frontale , mezza manica e girocollo",F,XS,XS,Rosa,100% Cotone,Buone,35-12-39-61,€ 8.00,T-Shirt Donna,Converse,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9681,Kappa Polo Grigia,"Kappa polo grigia tinta unita con logo ricamato frontale , bottoni al colletto",F,XS,XS,Grigio,100% Cotone,Buone,39-24-61-68,€ 8.00,Polo Uomo,Kappa,Nuovi Arrivi/Uomo,Polo Uomo/Abbigliamento Uomo/Inventario,C15
A9682,Puma T-Shirt Bianca,"Puma t-shirt bianca tinta unita e stampa frontale ,girocollo e mezza manica",M,L,L,Bianco,Cotone,"Buone ,etichetta materiale tagliata",44-22-51-66,€ 8.00,T-Shirt Uomo,Puma,Nuovi Arrivi/Uomo,T-Shirt Uomo/Abbigliamento Uomo/Inventario,C15
A9683,Desigual Abito Fantasia,"Desigual vestito fantasia multicolore , ricamo superiore ,modello morbido",F,46 - L,L,Multicolore,100% Poliestere,Buone,35-15-44-94,€ 14.00,Vestito Donna,Desigual,Nuovi Arrivi/Donna,Vestiti Donna/Abbigliamento Donna/Inventario,C15
A9684,Pierre Cardin Camicia Multicolore,"Pierre Cardin camicia quadri multicolore ,chiusura bottoni frontale , taschino e logo ricamato frontale",M,L,L,Multicolore,100% Cotone,Buone,46-61-58-74,€ 12.00,Camicia Uomo,Pierre Cardin,Nuovi Arrivi/Uomo,Camicie Uomo/Abbigliamento Uomo/Inventario,C15
A9685,Vans T-Shirt Azzurra,"Vans t-shirt azzurra tinta unita con logo frontale , mezza manica e girocollo",Bimbo,M - 11 Anni,11 Anni,Blu,Cotone,"Buone,etichetta materiale tagliata",42-16-42-57,€ 8.00,,SecondChancy,Bambini,Bimbo/Inventario,C15
A9686,Roy Roger's Jeans Blu,"Roy Roger's jeans blu lavaggio scuro, modello regular skinny con etichetta brand posteriore",Bimbo,14 Anni,14 Anni,Blu,98% Cotone 2% Elastan,Buone,35-25-88,€ 13.00,,SecondChancy,Bambini,Bimbo/Inventario,C15
A9687,Kappa Maglia Grigia,"Kappa maglia grigia tinta unita , logo ricamato frontale , girocollo e manica lunga",M,M,M,Grigio,100% Cotone,Buone,40-66-48-64,€ 8.00,T-Shirt Uomo,Kappa,Nuovi Arrivi/Uomo,T-Shirt Uomo/Abbigliamento Uomo/Inventario,C15
A9688,Lonsdale Felpa Grigia,"Lonsdale felpa grigia con dettagli rossi , logo ri8camato frontale e banda alle maniche , tascone e cappuccio,modello felpato adatto per l'inverno",M,M,M,Grigio,60% poliestere 25% cotone 15% viscosa,"Buone,necessita lavaggio",43-62-50-66,€ 15.00,Felpa Uomo,Lonsdale,Nuovi Arrivi/Uomo,Felpe Uomo/Abbigliamento Uomo/Inventario/Sport Uomo,C15
A9689,Adidas Pantalone Nero,"Adidas pantalone sportivo nero,tessutp tecnico con bande laterali ricamate bianche ,dettaglio zip inferiore",F,42,42,Nero,100% Poliestere,Buone,34-23-94,€ 12.00,Pantaloni Sport Donna,Adidas,Nuovi Arrivi/Donna,Sport Donna/Pantaloni Sport Donna/Inventario/Abbigliamento Donna,C15
A9690,Carrera 700 Jeans Blu,"Carrera jeans blu lavaggio scuro ,modello regular fit ,etichetta brand posteriore pelle",M,54,54,Blu,100% Cotone,Buone,46-27-100,€ 14.00,Jeans Uomo,Carrera,Nuovi Arrivi/Uomo,Jeans Uomo/Abbigliamento Uomo/Inventario,C15
A9691,Hollister Felpa Grigio,"Hollister felpa grigia tinta unita , logo ricamato frontale , cappuccio e tascone",M,S,S,Grigio,70% Cotone 30% Poliestere,Buone,50-60-54-64,€ 14.00,Felpa Uomo,Hollister,Nuovi Arrivi/Uomo,Sport Uomo/ Felpe Uomo/Abbigliamento Uomo/Inventario,C15
A9692,Brooksfield Maglioni Blu,"Brooksfield maglioncino blu tinta unita con logo ricamato frontale , girocollo",M,52 - XXL,XXL,Blu,80% Lana 20% Poliestere,Buone,44-70-53-72,€ 13.00,Maglioni Uomo,Brooksfield,Nuovi Arrivi/Uomo,Maglioni Uomo/Abbigliamento Uomo/Inventario,C15
A9693,Ara Bermuda Blu,"Ara bermuda blu tinta unita , modello vita alta e tasche",M,44,44,Blu,Cotone,Buone,33-33-61,€ 13.00,Pantaloni Donna,Vintage,Nuovi Arrivi/Donna,Pantaloncini Donna/Abbigliamento Donna/Inventario,C15
A9694,Adidas Leggins Nero,"Adidas leggins nero tinta unita , logo stampato e bande ricamate , molla in vita",F,40,40,Nero,93% Cotone 7% Elastan,Buone,26-27-90,€ 12.00,Pantaloni Sport Donna,Adidas,Nuovi Arrivi/Donna,Sport Donna/Pantaloni Sport Donna/Abbigliamento Donna/Inventario,C15
A9695,Hollister T-Shirt Floreale,"Hollister t-shirt floreale blu , mezza manica e girocollo",F,S,S,Blu,100% Cotone,Buone,43-16-44-66,€ 8.00,T-Shirt Donna,Hollister,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9696,1 Classe Felpa Nera,"1 Classe felpa nera ,logo stampato frontale , cappuccio e tasche , chiusura frontale zip",F,M,M,Nero,63% poliammide 29% cotone,Buone,37-67-42-64,€ 13.00,Felpa Donna,SecondChancy,Nuovi Arrivi/Donna,Sport Donna/Abbigliamento Donna/Felpe Donna/Inventario,C15
A9697,G-Star Raw Felpa Grigio,"G-Star Raw felpa grigia tinta unita con logo ricamato frontale , cappuccio e tascone",M,L,L,Grigio,65% Cotone 35% Poliestere,"Buone,necessita lavaggio",45-63-53-63,€ 14.00,Felpa Uomo,G-Star Raw,Nuovi Arrivi/Uomo,Sport Uomo/ Felpe Uomo/Abbigliamento Uomo/Inventario,C15
A9698,Nike Bermuda Grigio,Nike bermuda grigio traspirante con logo ricamato frontale,M,S - 42,42,Grigio,100% Poliestere,Buone,30-32-52,€ 12.00,Pantalone Sport Uomo,Nike,Nuovi Arrivi/Uomo,Sport Uomo/ Pantaloni Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9699,Puma Bermuda Grigio,"Puma bermuda grigio con logo ricamato frontale,slip interno",M,S - 42,42,Grigio,Poliestere,"Buone,etichetta materiale tagliata",32-26-45,€ 12.00,Pantalone Sport Uomo,Puma,Nuovi Arrivi/Uomo,Sport Uomo/ Pantaloni Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9700,ELIMINATO,,,,,,,,,,,,Nuovi Arrivi/Uomo,Camicie Uomo/Abbigliamento Uomo/Inventario,C15
A9701,Rams 23 Maglia Grigia,"Rams 23 maglia grigia tinta unita con stampa frontale , girocollo e manica lunga",Bimbo,12 Anni,12 Anni,Grigio,100% Cotone,Buone,38-50-46-55,€ 6.00,,SecondChancy,Bambini,Bimbo/Inventario,C15
A9702,Converse Felpa Con Zip,"Converse felpa blu con zip e cappuccio ,logo ricamato frontale e tasche. Adatto per le mezze stagioni",F,XL,XL,Blu,100% Poliestere,Buone,43-63-49-60,€ 13.00,Felpa Donna,Converse,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Felpe Donna,C15
A9703,Wrangler Jeans Scuro,"Wrangler jeans lavaggio scuro blu , dettaglo toppa logata posteriore , chiusura quattro bottoni",M,W33-L34/IT 46,46,Blu,100% Cotone,Buone,44-26-110,€ 15.00,Jeans Uomo,Wrangler,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Jeans Uomo,C15
A9704,Puma Maglioncino Rosa,"Puma maglioncino rosa con fantasia a righe bianche e grige, dettaglio logo ricamato",F,S,S,Rosa,Cotone,Buone -etichetta materiale mancante,44-52-46-61,€ 12.00,Maglione Donna,Puma,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Maglione Donna,C15
A9705,Sergio Tacchini Polo Verde,"Sergio Tacchini polo verde golf lab a giro maniche , logo in metallo frontale , tessuto leggero",F,L,L,Verde,100% Poliammide,Buone,42-10-46-66,€ 10.00,Polo Donna,Sergio Tacchini,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Polo Donna,C15
A9706,Adidas Costume Blu,"Adidas costume a pantaloncino blu con bande bianche e logo ricamato , splip interno",M,48,48,Blu,100% Poliammide,Buone,41-33-35,€ 8.00,Costume Uomo,Adidas,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Costumi Uomo,C15
A9707,Bermuda Grigio,"Gioie de vire bermuda grigio , tasche frontali e posteriori ,adatto per l' estate",M,W18/IT48,48,Grigio,100% Cotone,Buone,31-36-47,€ 8.00,Pantaloncini Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Pantaloncini Uomo,C15
A9708,Puma Costume Nero,"Puma costume nero con fantasia grafica a quadri ,logo stampato frontale , slip interno , elastico regolabile in vita",M,56/58,58,Nero,100% Poliestere,Buone,47-28-45,€ 8.00,Costume Uomo,Puma,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Costumi Uomo,C16D
A9709,Mammut Bermuda Blu,"Mammut bermuda blu , logo ricamato frontale ,tasche frontali e posteriori",M,50,50,Blu,100% Poliammide,Buone,43-28-49,€ 10.00,Pantaloncini Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Pantaloncini Uomo,C16D
A9710,Calvin Klein T-shirt A Righe,Calvin Klein t-shirt a mezza manica con fantasia a righe rosse con logo stampato frontale,M,L,L,Rosso,95% Cotone 5% Elastan,Buone,44-21-48-69,€ 8.00,T-shirt Uomo,Calvin Klein,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / T-shirt Uomo,C16D
A9711,Blouse In Lino Bianca,"Blouse bianca a giro maniche traforata , chiusura bottone posteriore , adatta per l'estate",F,M,M,Bianco,100% Lino,Buone,34-0-42-63,€ 8.00,Camicie e Blouse,SecondChancy,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9712,Gonna In Jeans Blu,"Miss Sexy gonna in jeasn lavaggio scuro blu con mezza chiusura a bottoni , adatta per le mezze stagioni",F,40,40,Blu,98% Cotone 2% Elastan,Buone,34-54,€ 8.00,Gonna,SecondChancy,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Gonne Donna,C16D
A9713,Camicia Mezza Manica Nera,"Derek Heart camicia a mezza manica nera , tasche frontali , adatta per l'estate",F,M,M,Nero,99% Cotone 1% Elastan,Buone,42-15-45-53,€ 8.00,Camicie e Blouse,SecondChancy,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9714,Levi's Jeans Blu,"Levi's jeans lavaggio chiaro blu , vestibilità skinny modello a vita bassa",F,W29/IT44,44,Blu,Cotone e Elatan,Buone- etichetta materiale mancante,38-18-101,€ 13.00,Jeans Donna,Levi's,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Jeans Donna,C16D
A9715,Camicia A Quadri,"Texabasic camicia a quadri mutlicolore , adatta per le stagioni invernali",M,XL,XL,Multicolore,100% Cotone,Buone,50-61-63-68,€ 10.00,Camicia Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Camicie Uomo,C16D
A9716,Camicia Marrone,"Minglilai camicia marrone a maniche lunghe , tessuto adatto per le mezze stagioni",F,L,L,Marrone,97% Cotone 3% Elastan,Buone,44-58-53-61,€ 8.00,Camicie e Blouse,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9717,Camicia Rosa Con Balze,"Camicia Rosa con dettaglio balze frontali , adatta per le mezze stagioni",F,44,44,Rosa,Cotone,Buone,41-60-50-70,€ 8.00,Camicie e Blouse,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9718,Camicia Rossa,"Camicia Rossa con dettaglio colletto risvolto in pizzo , adatto per le mezze stagioni",F,XXL,XXL,Rossa,Poliestere,Buone,49-53-58-68,€ 9.00,Camicie e Blouse,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9719,Giubbotto In Vera Pelle,"Danilo Dontini giubbotto in vera pelle marrone ,interno foderato",F,M,M,Marrone,Vera Pelle / Interno 100% Viscosa,Buone,39-60-44-59,€ 22.00,Capispalla Pelle Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Capispalla Pelle Donna,C16D
A9720,Camicia a Quadri Multicolore,"Camicia a quadri multicolore , adatto per le mezze stagioni",M,XL,XL,Multicolore,100% Cotone,Buone,43-63-52-71,€ 10.00,Camicie Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Camicie Uomo,C16D
A9721,Camicia A Righe Anni 70,"Camicia nera con fantasia righe multicolore anni 70 , vestibilità over size",M,M,M,Nero,Cotone,Buone -etichetta materiale mancante,46-66-53-69,€ 10.00,Camicia Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Camicie Uomo,C16D
A9722,Vestito Floreale Multicolore,"Vestito lungo multicolore floreale a mezza manica, adatto per l'estate",F,XL,XL,Multicolore,Cotone,Buone-etichette mancanti,41-9-46-92,€ 8.00,Vestiti Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Vestiti Donna,C16D
A9723,Gilet Velato Multicolore,"Gilet velato floreale multicolore , chiusura con laccio per fiocco",F,M,M,Multicolore,Viscosa,Buone,33-0-36-43,€ 6.00,Gilet Donna,Vintage,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Gilet Donna,C16D
A9724,Carrera Pantalone Beige,Carrera pantalone beige con dettaglio toppa posteriore,M,50,50,Beige,Cotone,Buone,40-29-107,€ 12.00,Pantalone Uomo,Carrera,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Pantaloni Uomo,C16D
A9725,Gonna A Campana,"Gonna elasticizzata con fantasia jeans lavaggio chiaro , chiusura posteriore",F,50,50,Blu,Cotone,Buone - etichette mancanti,41-71,€ 8.00,Gonna,Vintage,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna/ Gonne Uomo,C16D
A9726,Camicie In Pizzo Anni 70,"Camicia anni 70 velata in pizzo rosso , adatta per la stagione estiva",F,XL,XL,Rosso,Viscosa,Buone,44-71-48-66,€ 8.00,Camicie e Blouse,Vintage,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Camicie e Blouse Donna,C16D
A9727,Marena Leggins Termico,"Marena leggins termico ,dettaglio apertura al cavallo , zip laterali",F,S - 42,42,Nero,51% Nylon 49% Lycra,Buone,22-31-84,€ 8.00,Pantaloni Sport Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Pantaloni Sport Donna,C16D
A9728,Camicia Mezz Manica Blu,"Authentic Scotch camicia blu a mezza manica , adatta per la stagione estiva",M,S,S,Blu,97% Cotone 3% Elastan,Buone,41-17-47-63,€ 8.00,Camicia Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Camicie Uomo,C16D
A9729,Maglione Vintage Beige,"Maglione vintage marrone e beige con fantasia righe ,mezza chiusura a zip , adatto per l'inverno",M,XL,XL,Beige,60% Cotone 40% Poliestere,Buone,64-54-66-75,€ 10.00,Maglione Uomo,Vintage,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Maglioni Uomo,C16D
A9730,Stefanel Vestito Multicolore,"Stefanel vestito lungo a giro maniche floreale multicolore ,interno foderato , adatto per la stagione estiva",F,XL,XL,Multicolore,Poliestere,Buone -etichette mancanti,34-0-46-95,€ 10.00,Vestiti Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Vestiti Donna,C16D
